,total,data,border
0,0.08460330218076706,0.18667128682136536,0.0697021335363388
1,0.031725190579891205,0.05728461220860481,0.005278558004647493
2,0.019479602575302124,0.03546363115310669,0.002772378269582987
3,0.017917923629283905,0.03229392692446709,0.0027958122082054615
4,0.017675381153821945,0.03201688453555107,0.0025031808763742447
5,0.015208241529762745,0.027609074488282204,0.0020142130088061094
6,0.013027537614107132,0.023850463330745697,0.0014555027009919286
7,0.012832270003855228,0.0232201237231493,0.0016775374533608556
8,0.012807697989046574,0.023359263315796852,0.0014302833005785942
9,0.01321088895201683,0.02400905452668667,0.0015186433447524905
10,0.011008551344275475,0.019900798797607422,0.0013385833008214831
11,0.010990642011165619,0.019806891679763794,0.0013694106601178646
12,0.012826557271182537,0.02309359610080719,0.0015827587340027094
13,0.011509020812809467,0.020582377910614014,0.0015318721998482943
14,0.011092452332377434,0.01999032311141491,0.0012729919981211424
15,0.010036889463663101,0.017977610230445862,0.001242686528712511
16,0.010091403499245644,0.018184641376137733,0.0010999641381204128
17,0.009753646329045296,0.017541872337460518,0.001073175691999495
18,0.010065467096865177,0.01797635853290558,0.0012209601700305939
19,0.009536693803966045,0.017070811241865158,0.0010869231773540378
20,0.009650785475969315,0.017225343734025955,0.0011302008060738444
21,0.008479186333715916,0.01516530942171812,0.0009353088098578155
22,0.009071875363588333,0.01622222550213337,0.000982749741524458
23,0.008970500901341438,0.015967532992362976,0.0010323120513930917
24,0.008556929416954517,0.015264065936207771,0.0009264509426429868
25,0.008835443295538425,0.015718812122941017,0.0009835591772571206
26,0.00875788927078247,0.015552465803921223,0.0009860555874183774
27,0.0081776212900877,0.014522481709718704,0.0009005976025946438
28,0.008288703858852386,0.014697234146296978,0.000920094083994627
29,0.00821613147854805,0.014585520140826702,0.0008738333126530051
30,0.00801919773221016,0.014184142462909222,0.0008945816662162542
31,0.007947506383061409,0.014077779836952686,0.0008455655188299716
32,0.008011927828192711,0.014142888598144054,0.0008918700623326004
33,0.007955588400363922,0.014018314890563488,0.0008975863456726074
34,0.008248222060501575,0.014484396204352379,0.0009707777062430978
35,0.00807876419275999,0.014251996763050556,0.0008569290512241423
36,0.007816546596586704,0.013747778721153736,0.0008607922354713082
37,0.007882487960159779,0.013830611482262611,0.0008904571877792478
38,0.00753431161865592,0.013192486017942429,0.0008673752308823168
39,0.007971256971359253,0.013956340961158276,0.0009032547241076827
